# replica x Q2 F2nu FLnu xF3nu F2nub FLnub xF3nub
5 2.434783e-02 1.000000e+02 1.480032e+00 -5.800575e-03 3.109960e-01 1.790561e+00 2.750221e-01 4.059606e-01
6 2.434783e-02 4.000000e+00 1.286210e+00 5.523870e-01 2.560656e-01 1.562740e+00 4.474602e-01 2.668595e-01
6 2.434783e-02 1.000000e+02 1.884251e+00 -6.343460e-02 5.622450e-01 2.139730e+00 1.613209e-01 4.119397e-01
7 2.434783e-02 4.000000e+00 1.507393e+00 -4.411155e-02 -1.046817e-01 1.575557e+00 2.221812e-01 6.058484e-01
7 2.434783e-02 1.000000e+02 2.443064e+00 -1.459050e-01 -1.474131e-01 2.495128e+00 3.808356e-01 6.948028e-01
8 2.434783e-02 4.000000e+00 1.401134e+00 -9.075379e-02 1.686551e-01 1.418086e+00 -2.701082e-01 2.473261e-01
8 2.434783e-02 1.000000e+02 2.029809e+00 -4.973369e-01 2.269561e-01 2.369315e+00 1.488590e-01 1.335381e-01
9 2.434783e-02 4.000000e+00 1.144610e+00 9.601605e-02 2.431180e-01 1.532395e+00 3.110468e-02 3.720584e-01
9 2.434783e-02 1.000000e+02 1.244467e+00 -6.264329e-03 4.993025e-01 1.746088e+00 -2.270763e-01 3.541967e-01
10 2.434783e-02 4.000000e+00 1.155649e+00 1.162726e+00 5.652248e-01 1.423754e+00 4.701837e-01 2.865663e-01
10 2.434783e-02 1.000000e+02 1.660744e+00 7.817245e-02 3.738959e-01 1.844669e+00 -2.399712e-01 1.060824e+00
11 2.434783e-02 4.000000e+00 1.352136e+00 3.158822e-01 1.063886e+00 1.794993e+00 -1.342806e+00 2.469420e-01
11 2.434783e-02 1.000000e+02 1.592269e+00 8.417797e-02 8.332794e-01 2.121116e+00 1.843538e-01 8.581691e-01
12 2.434783e-02 4.000000e+00 1.100622e+00 -2.559065e-01 1.151764e-01 1.391051e+00 1.015688e-01 4.555071e-01
12 2.434783e-02 1.000000e+02 1.645263e+00 -5.479608e-01 -4.234028e-02 2.170347e+00 -1.972311e-01 5.431815e-01
13 2.434783e-02 4.000000e+00 1.251656e+00 8.490312e-01 2.592926e-01 1.443362e+00 1.837480e-01 6.732483e-01
13 2.434783e-02 1.000000e+02 2.223527e+00 2.225722e-01 6.166753e-01 2.181144e+00 9.695085e-01 -2.540812e-01
14 2.434783e-02 4.000000e+00 1.716385e+00 8.458905e-01 9.167194e-03 1.471677e+00 2.046311e-01 8.012993e-01
14 2.434783e-02 1.000000e+02 2.564976e+00 9.938779e-01 -1.373036e-01 2.995136e+00 5.539356e-01 9.440950e-01
